Compiled shader: ASESampleShaders/AnimatedFireShaderFunction, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/OlegTwoSideFoliage, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Oleg/OlegTwoSideFoliage, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/OlegTwoSideFoliage, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/OlegTwoSideFoliage, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/OlegTwoSideFoliage, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Oleg/OlegTwoSideFoliage, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/OlegTwoSideFoliage, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/OlegTwoSideFoliage, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Oleg/OlegTwoSideFoliage, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/OlegTwoSideFoliage, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/Opaq_VertexColor, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/Opaq_VertexColor, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/Opaq_VertexColor, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/Opaq_VertexColor, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/Opaq_VertexColor, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/Opaq_VertexColor, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/Opaq_VertexColor, pass: ShadowCaster, stage: all, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Oleg/Opaq_VertexColor, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING LOD_FADE_CROSSFADE SHADOWS_SHADOWMASK
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH LOD_FADE_CROSSFADE SHADOWS_SCREEN
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH LOD_FADE_CROSSFADE
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH LOD_FADE_CROSSFADE
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH LOD_FADE_CROSSFADE
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords FOG_EXP POINT
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords FOG_EXP2 POINT
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords FOG_EXP2 SPOT
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords POINT
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: FORWARD, stage: all, keywords SPOT
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: ShadowCaster, stage: all, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: ShadowCaster, stage: all, keywords LOD_FADE_CROSSFADE SHADOWS_DEPTH
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: ShadowCaster, stage: all, keywords SHADOWS_CUBE
Compiled shader: Oleg/OpaqueDiffuseStandart, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/OverGlow, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/OverGlow, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: Oleg/Phone, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/Phone, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/Phone, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/Phone, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH UNITY_PASS_SHADOWCASTER
Compiled shader: Oleg/PineTrees_CrownShadow_Wind, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/PineTrees_Crown_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH LOD_FADE_CROSSFADE SHADOWS_SCREEN
Compiled shader: Oleg/PineTrees_Crown_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH LOD_FADE_CROSSFADE
Compiled shader: Oleg/PineTrees_Crown_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Simple, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH UNITY_PASS_SHADOWCASTER
Compiled shader: Oleg/PineTrees_Crown_Wind, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Wind, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Wind, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/PineTrees_Crown_Wind, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Wind, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH LOD_FADE_CROSSFADE
Compiled shader: Oleg/PineTrees_Crown_Wind, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Wind, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/PineTrees_Crown_Wind, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH UNITY_PASS_SHADOWCASTER
Compiled shader: Oleg/Tranparent2sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON
Compiled shader: Oleg/Tranparent2sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING
Compiled shader: Oleg/Tranparent2sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/Tranparent2sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: Oleg/Tranparent2sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING
Compiled shader: Oleg/Tranparent2sided, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: Oleg/Tranparent2sided, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: Oleg/Tranparent2sided, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING
Compiled shader: Oleg/Tranparent2sided, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/Tranparent2sided, pass: ShadowCaster, stage: all, keywords SHADOWS_CUBE UNITY_PASS_SHADOWCASTER
Compiled shader: Oleg/Tranparent2sided, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH UNITY_PASS_SHADOWCASTER
Compiled shader: Oleg/UnlitTransparentAnimated, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/WaterFoamAnim, pass: FORWARD, stage: all, keywords DIRECTIONAL
Compiled shader: Oleg/WaterFoamAnim, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Oleg/ZogdashStoneStage1, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Oleg/ZogdashStoneStage1, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Oleg/ZogdashStoneStage1, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Oleg/ZogdashWhip, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: OlegWater, pass: FORWARD, stage: all, keywords DIRECTIONAL
Compiled shader: OlegWater, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP
Compiled shader: OlegWater, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: OlegWater, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: OlegWater, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: OlegWater_NoFog, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Particles/Priority Additive (Soft), pass: unnamed, stage: all, keywords no keywords
Compiled shader: Particles/Priority Additive, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Particles/Priority Alpha Blended, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Particles/Standard Unlit, pass: ShadowCaster, stage: all, keywords PROCEDURAL_INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: Particles/Standard Unlit, pass: ShadowCaster, stage: all, keywords SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: Particles/Standard Unlit, pass: unnamed, stage: all, keywords FOG_EXP _ALPHABLEND_ON
Compiled shader: Particles/Standard Unlit, pass: unnamed, stage: all, keywords FOG_EXP2 _ALPHABLEND_ON
Compiled shader: Particles/Standard Unlit, pass: unnamed, stage: all, keywords _ALPHABLEND_ON
Compiled shader: Skybox/Procedural, pass: unnamed, stage: all, keywords _SUNDISK_SIMPLE
Compiled shader: Spine/Skeleton, pass: Caster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Spine/SkeletonGraphic, pass: Normal, stage: all, keywords no keywords
Compiled shader: Sprites/Default, pass: unnamed, stage: all, keywords ETC1_EXTERNAL_ALPHA
Compiled shader: Sprites/Default, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Standard, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: Standard, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Standard, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: TerrainSurface, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: TerrainSurface, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: TerrainSurface, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: TerrainSurface, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: TerrainSurface, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: TerrainSurface, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: TextMeshPro/Distance Field, pass: unnamed, stage: all, keywords UNITY_UI_CLIP_RECT
Compiled shader: TextMeshPro/Distance Field, pass: unnamed, stage: all, keywords no keywords
Compiled shader: TextMeshPro/Mobile/Distance Field, pass: unnamed, stage: all, keywords no keywords
Compiled shader: TextMeshPro/Sprite, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Tree_Billboard_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Tree_Billboard_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: Tree_Billboard_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: UI/Default, pass: Default, stage: all, keywords UNITY_UI_ALPHACLIP
Compiled shader: UI/Default, pass: Default, stage: all, keywords UNITY_UI_CLIP_RECT
Compiled shader: UI/Default, pass: Default, stage: all, keywords no keywords
Compiled shader: UIDefault, pass: Default, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Additive, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Additive, pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Additive, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Alpha Blended Premultiply, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Alpha Blended, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Alpha Blended, pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Alpha Blended, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Multiply, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Multiply, pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: UnityBuiltIn/Legacy Shaders/Particles/Multiply, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Bumped Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Bumped Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Bumped Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/Diffuse, pass: FORWARD, stage: all, keywords POINT
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/VertexLit, pass: Caster, stage: all, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Cutout/VertexLit, pass: Caster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
